row,gazette_page,section,offence,punishment,cognizable_raw,bailable_raw,court
43,161,79,"Uttering any word or making any gesture intended to insult the modesty of a woman, etc.",Simple imprisonment for 3 years and fine.,Cognizable.,Bailable.,Any Magistrate.
44,161,80(2),Dowry death.,Imprisonment for not less than 7 years but which may extend to imprisonment for life.,Cognizable.,Non-bailable.,Court of Session.
45,161,81,"A man by deceit causing a woman not lawfully married to him to believe, that she is lawfully married to him and to cohabit with him in that belief.",Imprisonment for 10 years and fine.,Non-cognizable.,Non-bailable.,Magistrate of the first class.
46,162,82(1),Marrying again during the life time of a husband or wife.,Imprisonment for 7 years and fine.,Non-cognizable.,Bailable.,Magistrate of the first class.
47,162,82(2),Same offence with concealment of the former marriage from the person with whom subsequent marriage is contracted.,Imprisonment for 10 years and fine.,Non-cognizable.,Bailable.,Magistrate of the first class.
48,162,83,"A person with fraudulent intention going through the ceremony of being married, knowing that he is not thereby lawfully married.",Imprisonment up to 7 years and fine.,Non-cognizable.,Non-bailable.,Magistrate of the first class.
49,162,84,Enticing or taking away or detaining with a criminal intent a married woman.,"Imprisonment for 2 years, or fine, or both.",Non-cognizable.,Bailable.,Any Magistrate.
50,162,85,Punishment for subjecting a married woman to cruelty.,Imprisonment for 3 years and fine.,"Cognizable if information relating to the commission of the offence is given to an officer in charge of a police station by the person aggrieved by the offence or by any person related to her by blood, marriage or adoption or if there is no such relative, by any public servant belonging to such class or category as may be notified by the State Government in this behalf.",Non-bailable.,Magistrate of the first class.
51,162,87,"Kidnapping, abducting or inducing woman to compel her marriage, etc.",Imprisonment for 10 years and fine.,Cognizable.,Non-bailable.,Court of Session.
52,162,88,Causing miscarriage.,"Imprisonment for 3 years, or fine, or both.",Non-cognizable.,Bailable.,Magistrate of the first class.
53,162,,If the woman be quick with child.,Imprisonment for 7 years and fine.,Non-cognizable.,Bailable.,Magistrate of the first class.
54,162,89,Causing miscarriage without women's consent.,"Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable.,Non-bailable.,Court of Session.
55,162,90(1),Death caused by an act done with intent to cause miscarriage.,Imprisonment for 10 years and fine.,Cognizable.,Non-bailable.,Court of Session.
56,162,90(2),If act done without women's consent.,"Imprisonment for life, or as above.",Cognizable.,Non-bailable.,Court of Session.
57,162,91,"Act done with intent to prevent a child being born alive, or to cause it to die after its birth.","Imprisonment for 10 years, or fine, or both.",Cognizable.,Non-bailable.,Court of Session.
58,162,92,Causing death of a quick unborn child by an act amounting to culpable homicide.,Imprisonment for 10 years and fine.,Cognizable.,Non-bailable.,Court of Session.
59,163,93,Exposure of a child under 12 years of age by parent or person having care of it with intention of wholly abandoning it.,"Imprisonment for 7 years, or fine, or both.",Cognizable.,Bailable.,Magistrate of the first class.
60,163,94,Concealment of birth by secret disposal of dead body.,"Imprisonment for 2 years, or fine, or both.",Cognizable.,Bailable.,Magistrate of the first class.
