bns_section,offence,punishment,cognizable,condition,bailable,triable_by,source_ref,notes
111(5),Intentionally harbouring or concealing any person who committed offence of organised crime.,Imprisonment for not less than 3 years but which may extend to imprisonment for life and fine of not less than 5 lakh rupees.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 164",
111(6),"Possessing property derived, or obtained from the commission of organised crime.",Imprisonment for not less than 3 years but which may extend to imprisonment for life and fine of not less than 2 lakh rupees.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 164",
111(7),Possessing property on behalf of a member of an organised crime syndicate.,Imprisonment for not less than 3 years but which may extend to imprisonment for 10 years and fine of not less than 1 lakh rupees.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 164",
112,Petty Organised crime.,Imprisonment for not less than 1 year but which may extend to 7 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 164",
113(2)(a),Terrorist act resulting in the death of any person.,Death or imprisonment for life and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 164",
113(2)(b),In any other case.,Imprisonment for not less than 5 years but which may extend to imprisonment for life and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 164",
113(3),"Conspiring, attempting, abetting, etc., or knowingly facilitating the commission of terrorist act.",Imprisonment for not less than 5 years but which may extend to imprisonment for life and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 164",
113(4),"Organising camps, training, etc., for commission of terrorist act.",Imprisonment for not less than 5 years but which may extend to imprisonment for life and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 165",
113(5),Being a member of an organisation involved in terrorist act.,Imprisonment for life and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 165",
113(6),"Harbouring, concealing, etc., of any person who committed a terrorist act.",Imprisonment for not less than 3 years but which may extend to imprisonment for life and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 165",
113(7),Possessing property derived or obtained from commission of terrorist act.,Imprisonment for life and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 165",
115(2),Voluntarily causing hurt.,"Imprisonment for 1 year or fine of 10,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 165",
117(2),Voluntarily causing grievous hurt.,Imprisonment for 7 years and fine.,cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 165",
