bns_section,offence,punishment,cognizable,condition,bailable,triable_by,source_ref,notes
293,Continuance of nuisance after injunction to discontinue.,"Simple imprisonment for 6 months, or fine of 5,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 180",
294(2),"Sale, etc., of obscene books, etc.","On first conviction, with imprisonment for 2 years, and with fine of 5,000 rupees, and, in the event of second or subsequent conviction, with imprisonment for 5 years, and with fine of 10,000 rupees.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 180",
295,"Sale, etc., of obscene objects to child.","On first conviction, with imprisonment for 3 years, and with fine of 2,000 rupees, and in the event of second or subsequent conviction, with imprisonment for 7 years, and with fine of 5,000 rupees.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 180",
296,Obscene acts and songs.,"Imprisonment for 3 months, or fine of 1,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 181",
297(1),Keeping a lottery office.,"Imprisonment for 6 months, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 181",
297(2),Publishing proposals relating to lotteries.,"Fine of 5,000 rupees.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 181",
298,"Defiling, etc., place of worship, with intent to insult the religion of any class.","Imprisonment for 2 years, or fine, or both.",cognizable,,non_bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 181",
299,"Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs.","Imprisonment for 3 years, or fine, or both.",cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 181",
300,Disturbing religious assembly.,"Imprisonment for 1 year, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 181",
301,"Trespassing on burial places, etc.","Imprisonment for 1 year, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 181",
302,"Uttering words, etc., with deliberate intent to wound religious feelings.","Imprisonment for 1 year, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 181",
303(2),"Theft. / Where value of property is less than 5,000 rupees.","Rigorous imprisonment for not be less than 1 year but which may extend to 5 years and fine. / Upon return of the value of property or restoration of the stolen property, shall be punished with community service.",conditional,property_value_inr<5000=non_cognizable;else=cognizable,conditional,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 181","Schedule splits this section: [Theft.] Cognizable.; [Where value of property is less than 5,000 rupees.] Non-cognizable."
304(2),Snatching.,Imprisonment for 3 years and fine.,cognizable,,non_bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 181",
305,"Theft in a dwelling house, or means of transportation or place of worship, etc.",Imprisonment for 7 years and fine.,cognizable,,non_bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 181",
306,Theft by clerk or servant of property in possession of master or employer.,Imprisonment for 7 years and fine.,cognizable,,non_bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 181",
307,"Theft after preparation made for causing death, hurt or restraint in order to the committing of theft.",Rigorous imprisonment for 10 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 181",
308(2),Extortion.,"Imprisonment for 7 years, or fine, or both.",cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 181",
308(3),"Putting or attempting to put in fear of injury, in order to commit extortion.","Imprisonment for 2 years, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 181",
308(4),Putting or attempting to put a person in fear of death or grievous hurt in order to commit extortion.,Imprisonment for 7 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 181",
308(5),Extortion by putting a person in fear of death or grievous hurt.,Imprisonment for 10 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 182",
308(6),"Putting a person in fear of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 years in order to commit extortion.",Imprisonment for 10 years and fine.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 182",
308(7),"Extortion by threat of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 years.",Imprisonment for 10 years and fine.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 182",
309(4),Robbery. / If robbery committed on highway between sunset and sunrise.,Rigorous imprisonment for 10 years and fine. / Rigorous imprisonment for 14 years.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 182",
309(5),Attempt to commit robbery.,Rigorous imprisonment for 7 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 182",
309(6),Causing hurt.,"Imprisonment for life, or rigorous imprisonment for 10 years and fine.",cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 182",
310(2),Dacoity.,"Imprisonment for life, or rigorous imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 182",
310(3),Murder in dacoity.,"Death, imprisonment for life, or rigorous imprisonment for not less than 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 182",
310(4),Making preparation to commit dacoity.,Rigorous imprisonment for 10 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 182",
310(5),Being one of five or more persons assembled for the purpose of committing dacoity.,Rigorous imprisonment for 7 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 182",
310(6),Belonging to a gang of persons associated for the purpose of habitually committing dacoity.,"Imprisonment for life, or rigorous imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 182",
311,"Robbery or dacoity, with attempt to cause death or grievous hurt.",Imprisonment for not less than 7 years.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 182",
312,Attempt to commit robbery or dacoity when armed with deadly weapon.,Imprisonment for not less than 7 years.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 182",
313,Belonging to a wandering gang of persons associated for the purpose of habitually committing thefts.,Rigorous imprisonment for 7 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 182",
314,"Dishonest misappropriation of movable property, or converting it to one's own use.",Imprisonment of not less than 6 months but which may extend to 2 years and fine.,non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 182",
315,Dishonest misappropriation of property possessed by deceased person at the time of his death. / If by clerk or person employed by deceased.,Imprisonment for 3 years and fine. / Imprisonment for 7 years.,non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 182-183",
316(2),Criminal breach of trust.,"Imprisonment for 5 years, or fine, or both.",cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 183",
316(3),"Criminal breach of trust by a carrier, wharfinger, etc.",Imprisonment for 7 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 183",
316(4),Criminal breach of trust by a clerk or servant.,Imprisonment for 7 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 183",
316(5),"Criminal breach of trust by public servant or by banker, merchant or agent, etc.","Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 183",
317(2),Dishonestly receiving stolen property knowing it to be stolen.,"Imprisonment for 3 years, or fine, or both.",cognizable,,non_bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 183",
317(3),"Dishonestly receiving stolen property, knowing that it was obtained by dacoity.","Imprisonment for life, or rigorous imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 183",
317(4),Habitually dealing in stolen property.,"Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 183",
317(5),"Assisting in concealment or disposal of stolen property, knowing it to be stolen.","Imprisonment for 3 years, or fine, or both.",cognizable,,non_bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 183",
318(2),Cheating.,"Imprisonment for 3 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 183",
318(3),"Cheating a person whose interest the offender was bound, either by law or by legal contract, to protect.","Imprisonment for 5 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 183",
318(4),Cheating and dishonestly inducing delivery of property.,Imprisonment for 7 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 183",
319(2),Cheating by personation.,"Imprisonment for 5 years, or with fine, or with both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 183",
320,"Fraudulent removal or concealment of property, etc., to prevent distribution among creditors.","Imprisonment of not be less than 6 months but which may extend to 2 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 183",
321,Dishonest or fraudulently preventing from being made available for his creditors a debt or demand due to the offender.,"Imprisonment for 2 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 183",
322,Dishonest or fraudulent execution of deed of transfer containing a false statement of consideration.,"Imprisonment for 3 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 183",
323,"Fraudulent removal or concealment of property, of himself or any other person or assisting in the doing thereof, or dishonestly releasing any demand or claim to which he is entitled.","Imprisonment for 3 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 183",
324(2),Mischief.,"Imprisonment for 6 months, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 184",
324(3),Mischief causing loss or damage to any property including property of Government or Local Authority.,"Imprisonment for 1 year, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 184",
324(4),Mischief causing loss or damage to the amount of twenty thousand rupees but less than 2 lakh rupees.,"Imprisonment for 2 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 184",
324(5),Mischief causing loss or damage to the amount of one lakh rupees or upwards.,"Imprisonment for 5 years, or fine, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 184",
324(6),"Mischief with preparation for causing to any person death, or hurt, or wrongful restraint, or fear of death, or of hurt, or of wrongful restraint.","Imprisonment for 5 years, and fine.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 184",
325,Mischief by killing or maiming animal.,"Imprisonment for 5 years, or fine, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 184",
326(a),"Mischief by causing diminution of supply of water for agricultural purposes, etc.","Imprisonment for 5 years, or fine, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 184",
326(b),"Mischief by injury to public road, bridge, navigable river, or navigable channel, and rendering it impassable or less safe for travelling or conveying property.","Imprisonment for 5 years, or fine, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 184",
326(c),Mischief by causing inundation or obstruction to public drainage attended with damage.,"Imprisonment for 5 years, or with fine, or with both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 184",
326(d),"Mischief by destroying or moving or rendering less useful a lighthouse or seamark, or by exhibiting false lights.","Imprisonment for 7 years, or fine, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 184",
326(e),"Mischief by destroying or moving, etc., a landmark fixed by public authority.","Imprisonment for 1 year, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 184",
326(f),Mischief by fire or explosive substance with intent to cause damage.,Imprisonment for 7 years and fine.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 184",
326(g),"Mischief by fire or explosive substance with intent to destroy a house, etc.","Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 184",
327(1),Mischief with intent to destroy or make unsafe a decked vessel or a vessel of 20 tonnes burden.,Imprisonment for 10 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 184",
327(2),The mischief described in the last section when committed by fire or any explosive substance.,"Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 184",
328,"Running vessel with intent to commit theft, etc.",Imprisonment for 10 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 185",
329(3),Criminal trespass.,"Imprisonment for 3 months, or fine of 5,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 185",
329(4),House-trespass.,"Imprisonment for 1 year, or fine of 5,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 185",
331(1),Lurking house-trespass or house-breaking.,Imprisonment for 2 years and fine.,cognizable,,non_bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 185",
331(2),Lurking house-trespass or house-breaking by night.,Imprisonment for 3 years and fine.,cognizable,,non_bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 185",
331(3),Lurking house-trespass or house-breaking in order to the commission of an offence punishable with imprisonment. / If the offence be theft.,Imprisonment for 3 years and fine. / Imprisonment for 10 years.,cognizable,,non_bailable,Any Magistrate. / Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 185",
331(4),Lurking house-trespass or house-breaking by night in order to the commission of an offence punishable with imprisonment. / If the offence be theft.,Imprisonment for 5 years and fine. / Imprisonment for 14 years.,cognizable,,non_bailable,Any Magistrate. / Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 185",
331(5),"Lurking house-trespass or house-breaking after preparation made for causing hurt, assault, etc.",Imprisonment for 10 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 185",
331(6),"Lurking house-trespass or house-breaking by night, after preparation made for causing hurt, etc.",Imprisonment for 14 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 185",
331(7),Grievous hurt caused whilst committing lurking house-trespass or house-breaking.,"Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 185",
331(8),"Death or grievous hurt caused by one of several persons jointly concerned in house-breaking by night, etc.","Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 185",
332(a),House-trespass in order to the commission of an offence punishable with death.,"Imprisonment for life, or rigorous imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 185",
332(b),House-trespass in order to the commission of an offence punishable with imprisonment for life.,Imprisonment for 10 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 185",
332(c),House-trespass in order to the commission of an offence punishable with imprisonment. / If the offence is theft.,Imprisonment for 2 years and fine. / Imprisonment for 7 years.,cognizable,,conditional,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 185",
333,"House-trespass, having made preparation for causing hurt, assault, etc.",Imprisonment for 7 years and fine.,cognizable,,non_bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 186",
334(1),Dishonestly breaking open or unfastening any closed receptacle containing or supposed to contain property.,"Imprisonment for 2 years, or fine, or both.",cognizable,,non_bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 186",
334(2),"Being entrusted with any closed receptacle containing or supposed to contain any property, and fraudulently opening the same.","Imprisonment for 3 years, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 186",
336(2),Forgery.,"Imprisonment for 2 years, or fine, or both.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 186",
336(3),Forgery for the purpose of cheating.,Imprisonment for 7 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 186",
336(4),Forgery for the purpose of harming the reputation of any person or knowing that it is likely to be used for that purpose.,Imprisonment for 3 years and fine.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 186",
337,"Forgery of a record of a Court or of a Registrar of Births, etc., kept by a public servant.",Imprisonment for 7 years and fine,non_cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 186",
338,"Forgery of a valuable security, will, or authority to make or transfer any valuable security, or to receive any money, etc. / When the valuable security is a promissory note of the Central Government.","Imprisonment for life, or imprisonment for 10 years and fine. / Imprisonment for life, or imprisonment for 10 years and fine.",conditional,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 186","Schedule splits this section: [Forgery of a valuable security, will, or authority to make or transfer any valuable security, or to receive any money, etc.] Non-cognizable.; [When the valuable security is a promissory note of the Central Government.] Cognizable."
339,"Having possession of a document, knowing it to be forged, with intent to use it as genuine; if the document is one of the description mentioned in section 337. / If the document is one of the description mentioned in section 338.","Imprisonment for 7 years and fine. / Imprisonment for life, or imprisonment for 7 years and fine.",conditional,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 186","Schedule splits this section: [Having possession of a document, knowing it to be forged, with intent to use it as genuine; if the document is one of the description mentioned in section 337.] Cognizable.; [If the document is one of the description mentioned in section 338.] Non-cognizable."
340(2),Using as genuine a forged document which is known to be forged.,Punishment for forgery of such document.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 186",
341(1),"Making or counterfeiting a seal, plate, etc., with intent to commit a forgery punishable under section 338 or possessing with like intent any such seal, plate, etc., knowing the same to be counterfeit.","Imprisonment for life, or imprisonment for 7 years and fine.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 186",
341(2),"Making or counterfeiting a seal, plate, etc., with intent to commit a forgery punishable otherwise than under section 338 or possessing with like intent any such seal, plate, etc., knowing the same to be counterfeit.",Imprisonment for 7 years and fine.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 187",
341(3),"Possesses any seal, plate or other instrument knowing the same to be counterfeit.",Imprisonment for 3 years and fine.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 187",
341(4),"Fraudulently or dishonestly uses as genuine any seal, plate or other instrument knowing or having reason to believe the same to be counterfeit.","Same as if he had made or counterfeited such seal, plate or other instrument.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 187",
342(1),Counterfeiting a device or mark used for authenticating documents described in section 338 or possessing counterfeit marked material.,"Imprisonment for life, or imprisonment for 7 years and fine.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 187",
342(2),Counterfeiting a device or mark used for authenticating documents other than those described in section 338 or possessing counterfeit marked material.,Imprisonment for 7 years and fine.,non_cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 187",
343,"Fraudulently destroying or defacing, or attempting to destroy or deface, or secreting, a will, etc.","Imprisonment for life, or imprisonment for 7 years and fine.",non_cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 187",
344,Falsification of accounts.,"Imprisonment for 7 years, or fine, or both.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 187",
345(3),Using a false property mark with intent to deceive or injure any person.,"Imprisonment for 1 year, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 187",
346,"Removing, destroying or defacing property mark with intent to cause injury.","Imprisonment for 1 year, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 187",
347(1),"Counterfeiting a property mark used by another, with intent to cause damage or injury.","Imprisonment for 2 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 187",
347(2),"Counterfeiting a property mark used by a public servant, or any mark used by him to denote the manufacture, quality, etc., of any property.",Imprisonment for 3 years and fine.,non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 187",
348,"Fraudulently making or having possession of any die, plate or other instrument for counterfeiting any public or private property mark.","Imprisonment for 3 years, or fine, or both.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 187",
349,Knowingly selling goods marked with a counterfeit property mark.,"Imprisonment for 1 year, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 188",
350(1),"Fraudulently making a false mark upon any package or receptacle containing goods, with intent to cause it to be believed that it contains goods, which it does not contain, etc.","Imprisonment for 3 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 188",
350(2),Making use of any such false mark.,"Imprisonment for 3 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 188",
351(2),Criminal intimidation.,"Imprisonment for 2 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 188",
351(3),"If threat be to cause death or grievous hurt, etc.","Imprisonment for 7 years, or fine, or both.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 188",
